,Team 1,University
151,Mercy Gang,Swansea University
152,Bangor Team 2,Bangor University
153,Surrey Fawns,University of Surrey
154,And Dey Sayers,University of Sunderland
155,BCUwU,Birmingham City University
156,QUB Team 2,Queen's University Belfast
157,Henry for President,Brunel University
158,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
159,Mercy Mains Reunion,University of Essex
160,could be better,University of Lincoln
161,Hull Uni Team 1,University of Hull
162,UEA Nightjars,University of East Anglia
163,Slay squad,Bath Spa University
164,Herts Prey,University of Hertfordshire
165,DMUselesss,De Montfort University
166,Keele Conquerors,Keele University
167,Team 335,
168,2 Casual,University of Warwick
169,The Silver Geese,University of Nottingham
170,QMU Monarchs,Queen Margaret University
171,pimentos,University of Kent
