,Team Name,Team url,University
36,Kamikwasi,/tournaments/league-of-legends-winter-22-south/teams/cambridge-ravens-a/matches,University of Cambridge
37,number 1 victory...,/tournaments/league-of-legends-winter-22-south/teams/number-1-victory-royale/matches,Coventry University
38,SUPP DIFF,/tournaments/league-of-legends-winter-22-south/teams/roehampton-leprechauns/matches,Roehampton University
39,Team 79,,
40,Stand Our Ground,/tournaments/league-of-legends-winter-22-south/teams/stand-our-ground/matches,Bournemouth University
41,Bath Salts,/tournaments/league-of-legends-winter-22-south/teams/bath-salts/matches,University of Bath
42,Bristol Boosted,/tournaments/league-of-legends-winter-22-south/teams/bristol-boosted/matches,University of Bristol
43,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-1/matches,University of Plymouth
44,Bristol Bamboozles,/tournaments/league-of-legends-winter-22-south/teams/bristol-bamboozles/matches,University of Bristol
45,Surrey Stags,/tournaments/league-of-legends-winter-22-south/teams/surrey-stags/matches,University of Surrey
46,SVGE Team 4,/tournaments/league-of-legends-winter-22-south/teams/svge-team-4/matches,University of Southampton
47,South Kensington...,/tournaments/league-of-legends-winter-22-south/teams/south-kensington-beggars/matches,Imperial College London
48,Team Tapped,/tournaments/league-of-legends-winter-22-south/teams/team-tapped/matches,University of Kent
49,UCL DragonZeroElo,/tournaments/league-of-legends-winter-22-south/teams/ucl-dragonzeroelo/matches,University College London
50,ESSEX TEAM 1,/tournaments/league-of-legends-winter-22-south/teams/essex-team-1/matches,University of Essex
51,Lprio,/tournaments/league-of-legends-winter-22-south/teams/lprio-/matches,Brunel University
52,Rift Assassins,/tournaments/league-of-legends-winter-22-south/teams/rift-assassins/matches,University of Sussex
53,Reading baddest...,/tournaments/league-of-legends-winter-22-south/teams/reading-baddest-bad-lads-2022/matches,University of Reading
54,Yuu and Mi,/tournaments/league-of-legends-winter-22-south/teams/yuu-and-mi/matches,Royal Veterinary College
55,Bath PeaShooters,/tournaments/league-of-legends-winter-22-south/teams/bath-peashooters/matches,University of Bath
56,Oxford Integrals,/tournaments/league-of-legends-winter-22-south/teams/oxford-integrals/matches,Oxford University
57,Feral Warwick,/tournaments/league-of-legends-winter-22-south/teams/feral-warwick/matches,University of Warwick
58,UWE Sea Stags Black,/tournaments/league-of-legends-winter-22-south/teams/uwe-sea-stags-black/matches,University of the West of England
59,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-4-/matches,University of Plymouth
60,Iron Swan Wings_ISW,/tournaments/league-of-legends-winter-22-south/teams/iron-swan-wingsisw/matches,Swansea University
61,Swansea Tempest,/tournaments/league-of-legends-winter-22-south/teams/swansea-tempest/matches,Swansea University
62,OBG Cassiopias boots,/tournaments/league-of-legends-winter-22-south/teams/obg-cassiopias-boots/matches,Oxford Brookes University
63,in your walls,/tournaments/league-of-legends-winter-22-south/teams/in-your-walls/matches,University of Northampton
64,Surrey Wardens,/tournaments/league-of-legends-winter-22-south/teams/surrey-wardens-22/matches,University of Surrey
65,shush,/tournaments/league-of-legends-winter-22-south/teams/shush/matches,King's College London
66,EXEperiencing Pain,/tournaments/league-of-legends-winter-22-south/teams/exeperiencing-pain/matches,University of Exeter
67,Southamptons...,/tournaments/league-of-legends-winter-22-south/teams/svge-team-7/matches,University of Southampton
68,UWE Sea Stags,/tournaments/league-of-legends-winter-22-south/teams/uwe-sea-stags/matches,University of the West of England
69,Westminster...,/tournaments/league-of-legends-winter-22-south/teams/westminster-dragons-parade/matches,University of Westminster
70,Team 141,,
71,Jhinchester...,/tournaments/league-of-legends-winter-22-south/teams/jhinchester-jharriors/matches,University of Winchester
72,Voidlings,/tournaments/league-of-legends-winter-22-south/teams/voidlings/matches,King's College London
73,We Dont Care,/tournaments/league-of-legends-winter-22-south/teams/we-dont-care/matches,Coventry University
74,Crazy Big Damage,/tournaments/league-of-legends-winter-22-south/teams/svge-team-6/matches,University of Southampton
75,Surrely we wont lose,/tournaments/league-of-legends-winter-22-south/teams/surrely-we-wont-lose/matches,University of Surrey
76,Gray Warwick,/tournaments/league-of-legends-winter-22-south/teams/gray-warwick/matches,University of Warwick
77,CES Hydras,/tournaments/league-of-legends-winter-22-south/teams/ces-hydras/matches,"City, University of London"
78,Marauder Warwick,/tournaments/league-of-legends-winter-22-south/teams/marauder-warwick/matches,University of Warwick
79,Surreyender at 15,/tournaments/league-of-legends-winter-22-south/teams/surreyender-at-15/matches,University of Surrey
80,BCU Underdogs,/tournaments/league-of-legends-winter-22-south/teams/bcu-underdogs/matches,Birmingham City University
81,Cardiff Canaries,/tournaments/league-of-legends-winter-22-south/teams/cardiff-canaries/matches,Cardiff University
82,SoloQMUL,/tournaments/league-of-legends-winter-22-south/teams/god-favourite/matches,Queen Mary University of London
83,Bournemouth Drakes,/tournaments/league-of-legends-winter-22-south/teams/bournemouth-drakes/matches,Bournemouth University
84,For Fun Warwick,/tournaments/league-of-legends-winter-22-south/teams/for-fun-warwick/matches,University of Warwick
85,UWE Sea Stags Red...,/tournaments/league-of-legends-winter-22-south/teams/uwe-sea-stags-red-2223/matches,University of the West of England
86,Swansea Little...,/tournaments/league-of-legends-winter-22-south/teams/swansea-little-pogchamps/matches,Swansea University
87,Iron Forged,/tournaments/league-of-legends-winter-22-south/teams/ironforged/matches,University of Kent
88,Tech Park Tyrants,/tournaments/league-of-legends-winter-22-south/teams/tech-park-tyrants/matches,University of Chichester
89,Solent Crackheads,/tournaments/league-of-legends-winter-22-south/teams/solent-crackheads/matches,Southampton Solent University
90,EXEtension Cord,/tournaments/league-of-legends-winter-22-south/teams/over-exetenders/matches,University of Exeter
91,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-5/matches,University of Plymouth
92,Portsmouth Poros,/tournaments/league-of-legends-winter-22-south/teams/portsmouth-poros/matches,University of Portsmouth
93,Kent Goats,/tournaments/league-of-legends-winter-22-south/teams/kent-goats/matches,University of Kent
94,GrindSett,/tournaments/league-of-legends-winter-22-south/teams/grindsett/matches,University of Hertfordshire
95,Cardiff Conquerors,/tournaments/league-of-legends-winter-22-south/teams/team-4/matches,Cardiff University
96,UAL UNICORNS 2,/tournaments/league-of-legends-winter-22-south/teams/ual-unicorns-2/matches,University of the Arts London
97,Team 195,,
98,Simperial,/tournaments/league-of-legends-winter-22-south/teams/simperial/matches,Imperial College London
99,Plymouth...,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-3/matches,University of Plymouth
100,Essex Team 2,/tournaments/league-of-legends-winter-22-south/teams/essex-team-2/matches,University of Essex
101,UWL Wyverns,/tournaments/league-of-legends-winter-22-south/teams/uwl-wyverns/matches,University of West London
102,Pot of Greed,/tournaments/league-of-legends-winter-22-south/teams/pot-of-greed/matches,University of South Wales
103,BUilt Different,/tournaments/league-of-legends-winter-22-south/teams/built-different/matches,Bournemouth University
104,Okay,/tournaments/league-of-legends-winter-22-south/teams/okay/matches,University of Reading
105,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-bears/matches,FXU (Falmouth &amp; Exeter Student's Union)
106,Cambridge Ravens B,/tournaments/league-of-legends-winter-22-south/teams/cambridge-ravens-b/matches,University of Cambridge
107,OrnnHub,/tournaments/league-of-legends-winter-22-south/teams/ornnhub/matches,"Royal Holloway, University of London"
108,Silver Warriors,/tournaments/league-of-legends-winter-22-south/teams/silver-warriors/matches,Brunel University
109,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-tiger/matches,FXU (Falmouth &amp; Exeter Student's Union)
110,Falmouth Phoenix...,/tournaments/league-of-legends-winter-22-south/teams/falmouth-phoenix-turtle-/matches,FXU (Falmouth &amp; Exeter Student's Union)
111,UOG Contenders,/tournaments/league-of-legends-winter-22-south/teams/uog-contenders/matches,University of Gloucestershire
112,The HardStucks,/tournaments/league-of-legends-winter-22-south/teams/the-hardstucks/matches,Kingston University
113,Team 227,,
114,Team 1,/tournaments/league-of-legends-winter-22-south/teams/team-1/matches,King's College London
115,No Aim No Brain,/tournaments/league-of-legends-winter-22-south/teams/plymouth-leviathans-team-2/matches,University of Plymouth
116,Brighton T3,/tournaments/league-of-legends-winter-22-south/teams/brighton-t3/matches,University of Brighton
